20226, 9.689, -0.096, 0.773, -0.007, 0.007, 0.012
20329, 9.701, -0.086, 0.788, -0.007, 0.007, 0.012
20432, 9.697, -0.084, 0.771, -0.007, 0.007, 0.012
20535, 9.694, -0.096, 0.771, -0.007, 0.007, 0.013
20638, 9.704, -0.089, 0.781, -0.007, 0.007, 0.011
20741, 9.689, -0.096, 0.778, -0.008, 0.007, 0.012
20844, 9.697, -0.091, 0.790, -0.007, 0.007, 0.012
20947, 9.651, -0.103, 0.759, -0.007, 0.008, 0.011
21050, 9.680, -0.084, 0.733, -0.006, 0.008, 0.011
21153, 9.694, -0.103, 0.809, -0.005, 0.009, 0.011
21256, 9.697, -0.141, 0.867, -0.003, 0.009, 0.011
21359, 9.682, -0.091, 0.771, -0.007, 0.007, 0.012
21462, 9.687, -0.074, 0.816, -0.007, 0.008, 0.011
21565, 9.694, -0.096, 0.785, -0.007, 0.007, 0.012
21668, 9.687, -0.105, 0.771, -0.007, 0.007, 0.011
21771, 9.694, -0.086, 0.783, -0.007, 0.008, 0.012
21874, 9.687, -0.096, 0.773, -0.007, 0.007, 0.012
21977, 9.694, -0.086, 0.785, -0.007, 0.007, 0.012
22080, 9.694, -0.089, 0.797, -0.008, 0.007, 0.012
22183, 9.682, -0.103, 0.802, -0.007, 0.007, 0.012
22286, 9.692, -0.096, 0.802, -0.007, 0.007, 0.012
22389, 9.699, -0.098, 0.790, -0.007, 0.007, 0.012
22492, 9.689, -0.091, 0.785, -0.008, 0.007, 0.011
22595, 9.694, -0.081, 0.790, -0.007, 0.007, 0.012
22698, 9.692, -0.089, 0.783, -0.008, 0.007, 0.012
22801, 9.685, -0.101, 0.790, -0.008, 0.007, 0.012
22904, 9.701, -0.086, 0.785, -0.007, 0.007, 0.012
23007, 9.699, -0.086, 0.783, -0.007, 0.008, 0.012
23110, 9.692, -0.081, 0.783, -0.007, 0.007, 0.012
23213, 9.689, -0.084, 0.788, -0.007, 0.007, 0.013
23316, 9.689, -0.098, 0.781, -0.008, 0.007, 0.012
23419, 9.699, -0.079, 0.792, -0.007, 0.007, 0.012
23522, 9.685, -0.091, 0.783, -0.007, 0.007, 0.012
23625, 9.694, -0.091, 0.790, -0.007, 0.008, 0.012
23728, 9.708, -0.072, 0.776, -0.007, 0.008, 0.011
23831, 9.682, -0.101, 0.790, -0.008, 0.007, 0.012
23934, 9.694, -0.086, 0.781, -0.007, 0.007, 0.011
24037, 9.685, -0.079, 0.788, -0.007, 0.007, 0.012
24140, 9.689, -0.098, 0.788, -0.007, 0.007, 0.011
24243, 9.706, -0.086, 0.783, -0.007, 0.008, 0.011
24346, 9.692, -0.086, 0.795, -0.007, 0.007, 0.012
24449, 9.692, -0.096, 0.790, -0.007, 0.007, 0.012
24552, 9.697, -0.089, 0.790, -0.007, 0.007, 0.012
24655, 9.685, -0.089, 0.776, -0.007, 0.007, 0.012
24758, 9.692, -0.079, 0.776, -0.007, 0.007, 0.012
24861, 9.694, -0.089, 0.807, -0.008, 0.008, 0.012
24964, 9.697, -0.098, 0.769, -0.008, 0.007, 0.012
25067, 9.692, -0.098, 0.783, -0.007, 0.007, 0.012
25170, 9.697, -0.096, 0.773, -0.007, 0.008, 0.012
25273, 9.694, -0.103, 0.795, -0.007, 0.007, 0.011
25376, 9.697, -0.091, 0.781, -0.007, 0.007, 0.012
25479, 9.692, -0.096, 0.778, -0.007, 0.007, 0.012
25582, 9.697, -0.086, 0.788, -0.007, 0.007, 0.012
25685, 9.697, -0.079, 0.778, -0.007, 0.008, 0.012
25788, 9.704, -0.091, 0.790, -0.008, 0.007, 0.012
25891, 9.692, -0.093, 0.773, -0.008, 0.007, 0.011
25994, 9.694, -0.084, 0.776, -0.008, 0.008, 0.012
26097, 9.689, -0.096, 0.783, -0.008, 0.007, 0.012
26200, 9.692, -0.089, 0.773, -0.007, 0.007, 0.012
26303, 9.699, -0.098, 0.769, -0.007, 0.007, 0.012
26406, 9.685, -0.089, 0.778, -0.007, 0.008, 0.012
26509, 9.687, -0.079, 0.783, -0.007, 0.007, 0.012
26612, 9.689, -0.086, 0.797, -0.007, 0.007, 0.012
26715, 9.685, -0.089, 0.771, -0.007, 0.007, 0.011
26818, 9.692, -0.093, 0.778, -0.007, 0.007, 0.011
26921, 9.692, -0.093, 0.783, -0.007, 0.008, 0.012
27024, 9.689, -0.084, 0.783, -0.007, 0.007, 0.011
27127, 9.699, -0.089, 0.781, -0.007, 0.007, 0.012
27230, 9.687, -0.096, 0.769, -0.007, 0.007, 0.012
27333, 9.699, -0.096, 0.790, -0.007, 0.007, 0.011
27436, 9.694, -0.091, 0.776, -0.008, 0.007, 0.012
27539, 9.692, -0.091, 0.778, -0.008, 0.007, 0.011
27642, 9.697, -0.093, 0.773, -0.007, 0.007, 0.013
27745, 9.680, -0.098, 0.778, -0.007, 0.007, 0.012
27848, 9.692, -0.077, 0.778, -0.007, 0.007, 0.011
27951, 9.699, -0.081, 0.785, -0.008, 0.007, 0.012
28054, 9.699, -0.096, 0.771, -0.007, 0.007, 0.012
28157, 9.692, -0.089, 0.773, -0.007, 0.007, 0.012
28260, 9.694, -0.091, 0.792, -0.007, 0.007, 0.012
28363, 9.687, -0.098, 0.778, -0.007, 0.007, 0.012
28466, 9.697, -0.089, 0.773, -0.007, 0.007, 0.012
28569, 9.685, -0.093, 0.785, -0.008, 0.007, 0.012
28672, 9.699, -0.096, 0.781, -0.007, 0.007, 0.012
28775, 9.689, -0.103, 0.757, -0.007, 0.006, 0.014
28878, 9.682, -0.096, 0.783, -0.007, 0.007, 0.012
28981, 9.697, -0.091, 0.761, -0.007, 0.008, 0.011
29084, 9.761, -0.038, 0.754, -0.010, 0.009, 0.012
29187, 9.687, -0.089, 0.795, -0.007, 0.008, 0.011
29290, 9.711, -0.072, 0.788, -0.008, 0.007, 0.011
29393, 9.699, -0.089, 0.766, -0.007, 0.007, 0.012
29496, 9.689, -0.096, 0.769, -0.007, 0.007, 0.011
29599, 9.694, -0.081, 0.781, -0.007, 0.007, 0.012
29702, 9.694, -0.091, 0.776, -0.008, 0.008, 0.012
29805, 9.692, -0.093, 0.781, -0.007, 0.008, 0.012
29908, 9.692, -0.098, 0.785, -0.007, 0.008, 0.012
30011, 9.685, -0.081, 0.778, -0.007, 0.007, 0.012
30114, 9.694, -0.084, 0.785, -0.007, 0.007, 0.012
30217, 9.685, -0.091, 0.778, -0.007, 0.007, 0.012
30320, 9.694, -0.096, 0.797, -0.007, 0.007, 0.012
30423, 9.697, -0.091, 0.792, -0.007, 0.008, 0.011
30526, 9.697, -0.096, 0.781, -0.007, 0.008, 0.012
30629, 9.685, -0.098, 0.771, -0.007, 0.008, 0.011
30732, 9.694, -0.081, 0.797, -0.007, 0.007, 0.012
30835, 9.689, -0.091, 0.778, -0.007, 0.008, 0.012
30938, 9.697, -0.091, 0.783, -0.007, 0.007, 0.012
31041, 9.646, -0.098, 0.888, -0.003, 0.371, 0.042
31144, 9.737, -0.139, 1.448, -0.008, 0.148, 0.025
31247, 9.658, -0.127, 1.338, -0.007, 0.014, 0.012
31350, 9.658, -0.134, 1.341, -0.008, 0.008, 0.012
31453, 9.649, -0.136, 1.331, -0.007, 0.008, 0.012
31556, 9.661, -0.136, 1.353, -0.007, 0.008, 0.012
31659, 9.653, -0.139, 1.338, -0.008, 0.008, 0.012
31762, 9.653, -0.132, 1.341, -0.008, 0.008, 0.012
31865, 9.658, -0.132, 1.324, -0.007, 0.008, 0.011
31968, 9.663, -0.141, 1.343, -0.008, 0.008, 0.011
32071, 9.670, -0.136, 1.326, -0.007, 0.007, 0.011
32174, 9.661, -0.136, 1.350, -0.008, 0.008, 0.012
32277, 9.658, -0.139, 1.319, -0.007, 0.008, 0.011
32380, 9.663, -0.134, 1.341, -0.007, 0.008, 0.012
32483, 9.665, -0.139, 1.331, -0.007, 0.007, 0.012
32586, 9.653, -0.132, 1.341, -0.007, 0.007, 0.011
32689, 9.663, -0.139, 1.346, -0.006, 0.008, 0.012
32792, 9.658, -0.139, 1.336, -0.008, 0.007, 0.012
32895, 9.651, -0.144, 1.338, -0.008, 0.008, 0.012
32998, 9.665, -0.136, 1.343, -0.008, 0.007, 0.011
33101, 9.644, -0.141, 1.343, -0.007, 0.008, 0.011
33204, 9.651, -0.141, 1.331, -0.007, 0.007, 0.011
33307, 9.651, -0.136, 1.346, -0.007, 0.007, 0.012
33410, 9.653, -0.132, 1.338, -0.007, 0.007, 0.012
33513, 9.651, -0.127, 1.334, -0.007, 0.007, 0.012
33616, 9.646, -0.144, 1.343, -0.007, 0.007, 0.011
33719, 9.658, -0.144, 1.331, -0.007, 0.007, 0.011
33822, 9.670, -0.132, 1.336, -0.007, 0.008, 0.012
33925, 9.644, -0.136, 1.331, -0.007, 0.007, 0.011
34028, 9.653, -0.136, 1.346, -0.007, 0.008, 0.011
34131, 9.656, -0.134, 1.334, -0.008, 0.008, 0.012
34234, 9.649, -0.139, 1.334, -0.007, 0.007, 0.012
34337, 9.658, -0.134, 1.338, -0.007, 0.007, 0.011
34440, 9.656, -0.144, 1.346, -0.007, 0.008, 0.011
34543, 9.658, -0.146, 1.338, -0.008, 0.008, 0.012
34646, 9.670, -0.120, 1.346, -0.007, 0.007, 0.012
34749, 9.677, -0.132, 1.329, -0.008, 0.007, 0.011
34852, 9.656, -0.132, 1.336, -0.007, 0.007, 0.011
34955, 9.653, -0.132, 1.334, -0.007, 0.008, 0.012
35058, 9.651, -0.129, 1.341, -0.008, 0.008, 0.012
35161, 9.661, -0.141, 1.331, -0.007, 0.008, 0.011
35264, 9.663, -0.134, 1.329, -0.008, 0.007, 0.012
35367, 9.665, -0.141, 1.331, -0.008, 0.007, 0.012
35470, 9.649, -0.117, 1.269, -0.008, 0.006, 0.013
35573, 9.661, -0.141, 1.348, -0.007, 0.008, 0.013
35676, 9.646, -0.134, 1.353, -0.007, 0.008, 0.011
35779, 9.651, -0.132, 1.334, -0.008, 0.007, 0.012
35882, 9.658, -0.141, 1.331, -0.007, 0.007, 0.012
35985, 9.656, -0.144, 1.331, -0.007, 0.007, 0.011
36088, 9.680, -0.141, 1.350, -0.008, 0.007, 0.012
36191, 9.644, -0.139, 1.343, -0.007, 0.007, 0.012
36294, 9.651, -0.127, 1.329, -0.007, 0.007, 0.012
36397, 9.661, -0.141, 1.331, -0.007, 0.008, 0.012
36500, 9.658, -0.139, 1.326, -0.008, 0.008, 0.011
36603, 9.663, -0.132, 1.338, -0.007, 0.008, 0.011
36706, 9.658, -0.136, 1.324, -0.008, 0.007, 0.011
36809, 9.653, -0.141, 1.326, -0.007, 0.008, 0.011
36912, 9.656, -0.136, 1.336, -0.007, 0.007, 0.011
37015, 9.644, -0.144, 1.331, -0.007, 0.007, 0.011
37118, 9.656, -0.127, 1.314, -0.007, 0.008, 0.012
37221, 9.656, -0.134, 1.331, -0.007, 0.007, 0.011
37324, 9.658, -0.134, 1.329, -0.007, 0.007, 0.012
37427, 9.668, -0.144, 1.324, -0.007, 0.007, 0.011
37530, 9.653, -0.144, 1.336, -0.007, 0.008, 0.012
37633, 9.653, -0.144, 1.329, -0.007, 0.007, 0.011
37736, 9.658, -0.146, 1.319, -0.007, 0.007, 0.012
37839, 9.673, -0.124, 1.310, -0.007, 0.007, 0.012
37942, 9.649, -0.144, 1.343, -0.007, 0.007, 0.012
38045, 9.656, -0.136, 1.326, -0.007, 0.007, 0.012
38148, 9.658, -0.146, 1.331, -0.008, 0.007, 0.011
38251, 9.656, -0.151, 1.336, -0.007, 0.007, 0.011
38354, 9.653, -0.144, 1.329, -0.006, 0.008, 0.012
38457, 9.771, -0.148, 1.525, -0.014, 0.006, 0.009
38560, 9.656, -0.134, 1.350, -0.007, 0.007, 0.012
38663, 9.656, -0.146, 1.336, -0.008, 0.007, 0.012
38766, 9.649, -0.148, 1.343, -0.007, 0.008, 0.011
38869, 9.661, -0.134, 1.346, -0.007, 0.008, 0.012
38972, 9.663, -0.148, 1.374, -0.008, 0.007, 0.011
39075, 9.658, -0.141, 1.341, -0.007, 0.007, 0.011
39178, 9.661, -0.146, 1.338, -0.007, 0.007, 0.012
39281, 9.651, -0.136, 1.331, -0.008, 0.007, 0.011
39384, 9.653, -0.129, 1.350, -0.007, 0.007, 0.012
39487, 9.658, -0.139, 1.343, -0.007, 0.007, 0.012
39590, 9.656, -0.132, 1.334, -0.007, 0.008, 0.012
39693, 9.653, -0.132, 1.329, -0.008, 0.007, 0.011
39796, 9.653, -0.136, 1.343, -0.007, 0.007, 0.012
39899, 9.646, -0.141, 1.343, -0.007, 0.007, 0.012
40002, 9.663, -0.141, 1.353, -0.007, 0.007, 0.012
40105, 9.656, -0.139, 1.302, -0.008, 0.007, 0.012
40208, 9.661, -0.144, 1.336, -0.007, 0.008, 0.012
40311, 9.653, -0.139, 1.336, -0.007, 0.008, 0.012
40414, 9.651, -0.132, 1.355, -0.007, 0.007, 0.011
40517, 9.661, -0.144, 1.331, -0.007, 0.008, 0.011
40620, 9.656, -0.141, 1.348, -0.007, 0.008, 0.012
40723, 9.658, -0.148, 1.346, -0.007, 0.007, 0.011
40826, 9.658, -0.141, 1.346, -0.007, 0.007, 0.012
40929, 9.658, -0.148, 1.348, -0.007, 0.007, 0.012
41032, 9.649, -0.134, 1.334, -0.007, 0.007, 0.011
41135, 9.663, -0.144, 1.336, -0.007, 0.007, 0.012
41238, 9.663, -0.151, 1.353, -0.008, 0.007, 0.012
41341, 9.665, -0.132, 1.346, -0.008, 0.008, 0.012
41444, 9.663, -0.144, 1.324, -0.007, 0.007, 0.012
41547, 9.658, -0.144, 1.334, -0.007, 0.007, 0.011
41650, 9.670, -0.139, 1.343, -0.007, 0.007, 0.012
41753, 9.656, -0.132, 1.326, -0.007, 0.007, 0.012
41856, 9.653, -0.144, 1.322, -0.007, 0.007, 0.011
41959, 9.663, -0.134, 1.355, -0.007, 0.007, 0.012
42062, 9.656, -0.144, 1.334, -0.007, 0.007, 0.011
42165, 9.665, -0.136, 1.348, -0.007, 0.007, 0.011
42268, 9.665, -0.153, 1.326, -0.007, 0.007, 0.012
42371, 9.661, -0.136, 1.350, -0.008, 0.007, 0.012
42474, 9.656, -0.134, 1.324, -0.007, 0.007, 0.011
42577, 9.653, -0.139, 1.331, -0.008, 0.007, 0.012
42680, 9.653, -0.139, 1.317, -0.007, 0.008, 0.012
42783, 9.656, -0.146, 1.324, -0.007, 0.007, 0.011
42886, 9.663, -0.146, 1.336, -0.008, 0.007, 0.012
42989, 9.651, -0.141, 1.343, -0.007, 0.007, 0.011
43092, 9.653, -0.141, 1.336, -0.007, 0.008, 0.012
